"","C.V","Optimal Fixed Investment","Lifetime Reproduction"
"1",0.002,0.00694435683818602,-24824.8043977178
"2",0.00632455532033676,0.00695347118250144,-24827.200915594
"3",0.02,0.00695497120393248,-24826.8899030146
"4",0.0223606797749979,0.00695539057904667,-24826.8147203297
"5",0.0226274169979695,0.00695543938036735,-24826.792830549
"6",0.025298221281347,0.00695619200725636,-24826.6871232931
"7",0.0282842712474619,0.00695713256451603,-24826.5588319483
"8",0.0316227766016838,0.00695826523690055,-24826.4058297339
"9",0.0357770876399966,0.00695986804480633,-24826.1734591243
"10",0.04,0.00696169403620226,-24825.9103115651
"11",0.0447213595499958,0.00696397381434137,-24825.5820686236
"12",0.05,0.00696683373302852,-24825.1679351003
"13",0.0565685424949238,0.00697083355513158,-24824.5901723516
"14",0.0632455532033676,0.00697540600599141,-24823.9303215458
"15",0.0707106781186548,0.00698112399768737,-24823.1054767678
"16",0.0894427190999916,0.00699826916154718,-24820.6341345734
"17",0.1,0.0070156305842807,-24818.9916240787
"18",0.111803398874989,0.00702379497744192,-24816.9390023422
"19",0.126491106406735,0.00704378041702651,-24814.0720652966
"20",0.14142135623731,0.00706661173632942,-24810.8073548651
"21",0.2,0.00719088096910604,-24794.6777332601
"22",0.223606797749979,0.00724510318189838,-24786.7188534878
"23",0.282842712474619,0.00741603516843457,-24763.0889164756
"24",0.316227766016838,0.00751676567721784,-24747.6394506113
"25",0.447213595499958,0.0080844687100804,-24679.1218209642
"26",0.5,0.00836273834941956,-24651.543104101
"27",0.632455532033676,0.0092446301760322,-24586.3944774164
"28",0.707106781186548,0.00988315968542713,-24549.71392908
"29",1,0.0136601959487257,-24463.8310901714
