,C.V,Optimal Fixed Investment,Lifetime Reproduction
1,0.002,0.072487083,-22445.71368
2,0.006324555,0.072347265,-22447.85496
3,0.02,0.072426969,-22447.5604
4,0.02236068,0.072345658,-22447.48056
5,0.022627417,0.072350554,-22447.47151
6,0.025298221,0.072438231,-22447.37452
7,0.028284271,0.072422865,-22447.25006
8,0.031622777,0.072381674,-22447.09085
9,0.035777088,0.072480585,-22446.87041
10,0.04,0.072426969,-22446.61252
11,0.04472136,0.072345658,-22446.29587
12,0.05,0.072456528,-22445.89904
13,0.056568542,0.072456528,-22445.3431
14,0.063245553,0.072574863,-22444.70878
15,0.070710678,0.07258197,-22443.91638
16,0.089442719,0.072776604,-22441.54409
17,0.1,0.072882779,-22439.96377
18,0.111803399,0.073067566,-22437.99131
19,0.126491106,0.073183871,-22435.23656
20,0.141421356,0.073511723,-22432.10271
21,0.2,0.074615637,-22416.5872
22,0.223606798,0.075290543,-22408.92684
23,0.282842712,0.076917897,-22386.22038
24,0.316227766,0.078058359,-22371.32339
25,0.447213595,0.083763523,-22303.94755
26,0.5,0.086523297,-22276.70478
27,0.632455532,0.095398098,-22219.14329
28,0.707106781,0.101754609,-22195.47824
29,1,0.139129247,-22233.64915
