trial,scale,shape,mean,variance,C.V.
1,0.001,250000,250,0.25,0.002
2,0.01,25000,250,2.5,0.006324555
3,0.1,2500,250,25,0.02
4,0.125,2000,250,31.25,0.02236068
5,0.128,1953.125,250,32,0.022627417
6,0.16,1562.5,250,40,0.025298221
7,0.2,1250,250,50,0.028284271
8,0.25,1000,250,62.5,0.031622777
9,0.32,781.25,250,80,0.035777088
10,0.4,625,250,100,0.04
11,0.5,500,250,125,0.04472136
12,0.625,400,250,156.25,0.05
13,0.8,312.5,250,200,0.056568542
14,1,250,250,250,0.063245553
15,1.25,200,250,312.5,0.070710678
16,2,125,250,500,0.089442719
17,2.5,100,250,625,0.1
18,3.125,80,250,781.25,0.111803399
19,4,62.5,250,1000,0.126491106
20,5,50,250,1250,0.141421356
21,10,25,250,2500,0.2
22,12.5,20,250,3125,0.223606798
23,20,12.5,250,5000,0.282842712
24,25,10,250,6250,0.316227766
25,50,5,250,12500,0.447213595
26,62.5,4,250,15625,0.5
27,100,2.5,250,25000,0.632455532
28,125,2,250,31250,0.707106781
29,250,1,250,62500,1
